Active metal,Derived,Electrode support,Catalyst size,Potential,Anion Electrolyte ,[C] of Anion (M),Cation Electrolyte ,[C] of Cation (M),Membrane,,H2,CO,C1,C2+,,Paper,,
Cu,nanoparticle,Vulcan XC-72R,27,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,,49.02439024,10.73170732,1.463414634,3.902439024,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-0.8,K+,0.1,HCO3-,0.1,proton exchange membrane,,60.24390244,3.902439024,0,0,,,,
Cu,nanoparticle,Vulcan XC-72R,27,-0.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,83.65853659,0,0,0,,,,
Cu,foil,-,4500,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,7.56097561,5.12195122,61.95121951,18.53658537,,,,
Cu,foil,-,4500,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,,12.43902439,10,52.92682927,13.90243902,,,,
Cu,foil,-,4500,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,33.41463415,28.7804878,15.12195122,4.146341463,,,,
Cu,foil,-,4500,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,,38.53658537,34.63414634,2.43902439,3.414634146,,,,
Cu,nanoparticle,carbon paper,25,-0.49,Na+,0.95,ClO4-,0.95,proton exchange membrane,,85.255,6.113333333,5.566666667,0.023333333,,Promoting Cu-catalysed CO2 electroreduction to multicarbon products by tuning the activity of H2O,,
Cu,nanoparticle,carbon paper,25,-0.58,Na+,0.95,ClO4-,0.95,proton exchange membrane,,79.06333333,12.82,5.987666667,0.055,,,,
Cu,nanoparticle,carbon paper,25,-0.67,Na+,0.95,ClO4-,0.95,proton exchange membrane,,67.59666667,23.03666667,7.922666667,0.177333333,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,0.95,ClO4-,0.95,proton exchange membrane,,60.33372354,27.554,10.12333333,1.537,,,,
Cu,nanoparticle,carbon paper,25,-0.82,Na+,0.95,ClO4-,0.95,proton exchange membrane,,34.94666667,35.39166667,18.24333333,9.513333333,,,,
Cu,nanoparticle,carbon paper,25,-0.88,Na+,0.95,ClO4-,0.95,proton exchange membrane,,32.17733333,28.87166667,23.84033333,15.304,,,,
Cu,nanoparticle,carbon paper,25,-0.49,Na+,5.38,ClO4-,5.38,proton exchange membrane,,76.24333333,11.03333333,11.81766667,0.373333333,,,,
Cu,nanoparticle,carbon paper,25,-0.58,Na+,5.38,ClO4-,5.38,proton exchange membrane,,71.43333333,11.48766667,8.493333333,6.393333333,,,,
Cu,nanoparticle,carbon paper,25,-0.67,Na+,5.38,ClO4-,5.38,proton exchange membrane,,52.34366667,18.42,14.28333333,5.683333333,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,5.38,ClO4-,5.38,proton exchange membrane,,16.02,35.91333333,10.88,33.535,,,,
Cu,nanoparticle,carbon paper,25,-0.82,Na+,5.38,ClO4-,5.38,proton exchange membrane,,8.606666667,16.47666667,7.183333333,65.93666667,,,,
Cu,nanoparticle,carbon paper,25,-0.88,Na+,5.38,ClO4-,5.38,proton exchange membrane,,12.83,11.22333333,5.313333333,64.69,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,0.95,ClO4-,0.95,proton exchange membrane,,60.33372354,27.554,10.12333333,1.537,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,2.55,ClO4-,2.55,proton exchange membrane,,40.27,34.04,8.801,7.516666667,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,3.89,ClO4-,3.89,proton exchange membrane,,22.53,33.09,10.29,28.47333333,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,5.38,ClO4-,5.38,proton exchange membrane,,16.02,35.91333333,11.64,33.535,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,6.33,ClO4-,6.33,proton exchange membrane,,24.955,23.13333333,8.365,35.84333333,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,7.12,ClO4-,7.12,proton exchange membrane,,16,28.5,7.013333333,46.83,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,7.99,ClO4-,7.99,proton exchange membrane,,19.01757426,24.9325,7.223333333,50.36,,,,
Cu,nanoparticle,carbon paper,25,-0.75,Na+,8.49,ClO4-,8.49,proton exchange membrane,,10.12666667,18.685,9.266666667,57.40333333,,,,
Cu,cube,carbon paper,220,-1.12,K+,0.1,HCO3-,0.1,Anion exchange membrane,,35.35211268,0.845070423,54.92957746,8.309859155,,"Dynamic Changes in the Structure, Chemical State and Catalytic Selectivity of Cu Nanocubes during CO2 Electroreduction: Size and Support Effects",,
Cu,cube,carbon paper,220,-1.05,K+,0.1,HCO3-,0.1,Anion exchange membrane,,28.45070423,3.098591549,42.11267606,25.77464789,,,,
Cu,cube,carbon paper,220,-0.98,K+,0.1,HCO3-,0.1,Anion exchange membrane,,10.14084507,23.8028169,43.52112676,22.95774648,,,,
Cu,cube,carbon paper,220,-0.88,K+,0.1,HCO3-,0.1,Anion exchange membrane,,40.14084507,14.92957746,42.53521127,2.112676056,,,,
Cu,cube,carbon paper,320,-1.12,K+,0.1,HCO3-,0.1,Anion exchange membrane,,19.12790698,2.48,75.62874251,12.49146789,,,,
Cu,cube,carbon paper,320,-1.05,K+,0.1,HCO3-,0.1,Anion exchange membrane,,8.343023256,5.68,71.44710579,21.75605798,,,,
Cu,cube,carbon paper,320,-1,K+,0.1,HCO3-,0.1,Anion exchange membrane,,12.4127907,5.84,56.59680639,36.04215739,,,,
Cu,cube,carbon paper,320,-0.93,K+,0.1,HCO3-,0.1,Anion exchange membrane,,16.48255814,22.32,36.40718563,25.10437843,,,,
Cu,cube,carbon paper,320,-0.87,K+,0.1,HCO3-,0.1,Anion exchange membrane,,30.93023256,21.84,42.1756487,5.675675676,,,,
Cu,cube,carbon paper,580,-1.07,K+,0.1,HCO3-,0.1,Anion exchange membrane,,38.45930233,1.36,51.79640719,20.86275142,,,,
Cu,cube,carbon paper,580,-1.02,K+,0.1,HCO3-,0.1,Anion exchange membrane,,34.38953488,2.64,43.38323353,31.62261085,,,,
Cu,cube,carbon paper,580,-0.97,K+,0.1,HCO3-,0.1,Anion exchange membrane,,7.325581395,12.24,33.64271457,45.1674925,,,,
Cu,cube,carbon paper,580,-0.89,K+,0.1,HCO3-,0.1,Anion exchange membrane,,55.95930233,11.52,34.76047904,0.18018018,,,,
Cu,foam,-,35,-1,K+,0.5,HCO3-,0.5,proton exchange membrane,,35.89108911,4.702970297,3.712871287,41.58415842,,Morphology Matters: Tuning the Product Distribution of CO2 Electroreduction on Oxide-Derived Cu Foam Catalysts,,
Cu,foam,-,35,-0.9,K+,0.5,HCO3-,0.5,proton exchange membrane,,27.72277228,8.663366337,5.693069307,47.52475248,,,,
Cu,foam,-,35,-0.8,K+,0.5,HCO3-,0.5,proton exchange membrane,,14.85148515,15.0990099,6.188118812,53.96039604,,,,
Cu,foam,-,35,-0.7,K+,0.5,HCO3-,0.5,proton exchange membrane,,12.12871287,24.00990099,4.702970297,50.74257426,,,,
Cu,foam,-,35,-0.6,K+,0.5,HCO3-,0.5,proton exchange membrane,,20.79207921,34.65346535,5.940594059,29.7029703,,,,
Cu,foam,-,35,-0.5,K+,0.5,HCO3-,0.5,proton exchange membrane,,35.89108911,40.0990099,1.98019802,10.64356436,,,,
Cu,foam,-,35,-0.4,K+,0.5,HCO3-,0.5,proton exchange membrane,,49.00990099,38.11881188,0.841584158,3.712871287,,,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-0.777,K+,1,OH-,1,anion exchange membrane,,13.52542373,34.64373464,5.962325962,56.46226415,,Copper Electrocatalyst Produced by Cu2(OH)2CO3-Mediated In Situ Deposition for Diluted CO2 Reduction to Multicarbon Products,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-0.977,K+,1,OH-,1,anion exchange membrane,,12.44067797,25.55282555,5.356265356,60.09433962,,,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-1.177,K+,1,OH-,1,anion exchange membrane,,12.16949153,20.63882064,5.118755119,58.77358491,,,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-1.377,K+,1,OH-,1,anion exchange membrane,,12.16949153,19.16461916,3.108108108,60.4245283,,,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-1.577,K+,1,OH-,1,anion exchange membrane,,12.44067797,16.21621622,3.329238329,62.0754717,,,,
Cu,nanoparticle,glassy carbon,7.5,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,,25.2,2.1,38.3,27.4,,Tailoring Copper Nanocrystals towards C2 Products in Electrochemical CO2 Reduction,,
Cu,nanoparticle,glassy carbon,27,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,,47.6,3.1,34.4,15.5,,,,
Cu,cube,glassy carbon,24,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,,54.7,3.3,35,9.8,,,,
Cu,cube,glassy carbon,44,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,,20.5,2.1,28.7,46.4,,,,
Cu,cube,glassy carbon,63,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,,32.3,1.2,27.8,32.3,,,,
Cu,foil,glassy carbon,4500,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,,41.1,3.1,30.7,26.6,,,,
Cu,foil,-,4500,-0.888,Li+,0.1,HCO3-,0.1,cation exchange membrane,,60.5,0,36.9,6.8,,Product selectivity affected by cationic species in electrochemical reduction of CO2 and CO at a Cu electrode,,
Cu,foil,-,4500,-0.888,Na+,0.1,HCO3-,0.1,cation exchange membrane,,25.1,1,62.1,17.7,,,,
Cu,foil,-,4500,-0.828,K+,0.1,HCO3-,0.1,cation exchange membrane,,14.5,0.5,40.3,42.8,,,,
Cu,foil,-,4500,-0.818,Cs+,0.1,HCO3-,0.1,cation exchange membrane,,24.4,2.4,32.1,42.1,,,,
Cu,foil,-,4500,-0.963,K+,0.05,Cl-,0.05,cation exchange membrane,,11.3,2.4,21.7,66.1,,,,
Cu,foil,-,4500,-0.813,K+,0.1,Cl-,0.1,cation exchange membrane,,5.9,2.5,18.1,73.3,,,,
Cu,foil,-,4500,-0.863,K+,0.3,Cl-,0.3,cation exchange membrane,,10.9,2.1,25.5,58.9,,,,
Cu,foil,-,4500,-0.793,K+,1,Cl-,1,cation exchange membrane,,15.8,3.3,18.3,59.5,,,,
Cu2O,oxide ,-,29.9,-1.13,K+,0.1,HCO3-,0.1,anion exchange membrane,,99.66072943,0,0.212044105,0,99.87277354,Mechanistic insights into the selective electroreduction of carbon dioxide to ethylene on Cu2O-derived copper catalysts,,
Cu2O,oxide ,-,29.9,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,78.45631891,0,2.120441052,16.75148431,97.32824427,,,
Cu2O,oxide ,-,29.9,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,59.37234945,0,3.180661578,33.47413062,96.02714165,,,
Cu2O,oxide ,-,29.9,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,34.56318914,0.636132316,7.209499576,56.59202714,99.00084818,,,
Cu2O,oxide ,-,29.9,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,49.40627651,1.272264631,10.60220526,36.47158609,97.75233249,,,
Cu2O,oxide ,-,29.9,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,46.64970314,2.120441052,25.23324852,24.17302799,98.1764207,,,
Cu2O,oxide ,-,29.9,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,,51.73876166,2.756573367,12.72264631,32.8668363,100.0848176,,,
Cu2O,oxide ,-,29.9,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,43.25699746,7.633587786,32.6547922,11.02629347,94.57167091,,,
Cu2O,oxide ,-,29.9,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,64.03731976,12.72264631,32.44274809,6.997455471,116.2001696,,,
Cu2O,oxide ,-,18,-1.13,K+,0.1,HCO3-,0.1,anion exchange membrane,,90.83969466,0,0.890585242,8.905852417,100.6361323,,,
Cu2O,oxide ,-,18,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,75.27671756,0,1.16889313,24.78053435,101.226145,,,
Cu2O,oxide ,-,18,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,53.16793893,0,1.335877863,44.94656489,99.45038168,,,
Cu2O,oxide ,-,18,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,45.15267176,0,3.183842239,49.46819338,97.80470738,,,
Cu2O,oxide ,-,18,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,42.12468193,1.959287532,15.18447837,38.94083969,98.20928753,,,
Cu2O,oxide ,-,18,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,47.69083969,3.085877863,13.46564885,37.3110687,101.5534351,,,
Cu2O,oxide ,-,18,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,,53.25699746,4.920483461,12.73536896,27.49681934,98.40966921,,,
Cu2O,oxide ,-,18,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,49.16030534,5.888994911,28.67684478,14.59446565,98.32061069,,,
Cu2O,oxide ,-,18,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,51.65394402,11.88040712,25.82697201,10.07251908,99.43384224,,,
Cu2O,oxide ,-,28.4,-1.13,K+,0.1,HCO3-,0.1,anion exchange membrane,,103.4482759,0,0,0,103.4482759,,,
Cu2O,oxide ,-,28.4,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,82.97413793,0,1.077586207,15.34482759,99.39655172,,,
Cu2O,oxide ,-,28.4,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,75.86206897,0,1.293103448,23.55172414,100.7068966,,,
Cu2O,oxide ,-,28.4,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,52.15517241,0,4.094827586,44.28448276,100.5344828,,,
Cu2O,oxide ,-,28.4,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,43.96551724,0,4.956896552,51.75,100.6724138,,,
Cu2O,oxide ,-,28.4,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,37.28448276,1.077586207,3.879310345,57.86206897,100.1034483,,,
Cu2O,oxide ,-,28.4,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,,39.65517241,1.077586207,4.310344828,55.18103448,100.2241379,,,
