Active metal,Derived,Electrode support,Catalyst size,Potential,Anion Electrolyte ,[C] of Anion (M),Cation Electrolyte ,[C] of Cation (M),Membrane,H2,CO,C1,C2+,,,Paper,,
Cu,cube,carbon paper,320,-0.93,K+,0.1,HCO3-,0.1,Anion exchange membrane,16.48255814,22.32,36.40718563,25.10437843,,,,,
Cu,cube,carbon paper,320,-0.87,K+,0.1,HCO3-,0.1,Anion exchange membrane,30.93023256,21.84,42.1756487,5.675675676,,,,,
Cu,cube,carbon paper,580,-1.07,K+,0.1,HCO3-,0.1,Anion exchange membrane,38.45930233,1.36,51.79640719,20.86275142,,,,,
Cu,cube,carbon paper,580,-1.02,K+,0.1,HCO3-,0.1,Anion exchange membrane,34.38953488,2.64,43.38323353,31.62261085,,,,,
Cu,cube,carbon paper,580,-0.97,K+,0.1,HCO3-,0.1,Anion exchange membrane,7.325581395,12.24,33.64271457,45.1674925,,,,,
Cu,cube,carbon paper,580,-0.89,K+,0.1,HCO3-,0.1,Anion exchange membrane,55.95930233,11.52,34.76047904,0.18018018,,,,,
Cu,foam,-,35,-1,K+,0.5,HCO3-,0.5,proton exchange membrane,35.89108911,4.702970297,3.712871287,41.58415842,,,Morphology Matters: Tuning the Product Distribution of CO2 Electroreduction on Oxide-Derived Cu Foam Catalysts,,
Cu,foam,-,35,-0.9,K+,0.5,HCO3-,0.5,proton exchange membrane,27.72277228,8.663366337,5.693069307,47.52475248,,,,,
Cu,foam,-,35,-0.8,K+,0.5,HCO3-,0.5,proton exchange membrane,14.85148515,15.0990099,6.188118812,53.96039604,,,,,
Cu,foam,-,35,-0.7,K+,0.5,HCO3-,0.5,proton exchange membrane,12.12871287,24.00990099,4.702970297,50.74257426,,,,,
Cu,foam,-,35,-0.6,K+,0.5,HCO3-,0.5,proton exchange membrane,20.79207921,34.65346535,5.940594059,29.7029703,,,,,
Cu,foam,-,35,-0.5,K+,0.5,HCO3-,0.5,proton exchange membrane,35.89108911,40.0990099,1.98019802,10.64356436,,,,,
Cu,foam,-,35,-0.4,K+,0.5,HCO3-,0.5,proton exchange membrane,49.00990099,38.11881188,0.841584158,3.712871287,,,,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-0.777,K+,1,OH-,1,anion exchange membrane,13.52542373,34.64373464,5.962325962,56.46226415,,,Copper Electrocatalyst Produced by Cu2(OH)2CO3-Mediated In Situ Deposition for Diluted CO2 Reduction to Multicarbon Products,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-0.977,K+,1,OH-,1,anion exchange membrane,12.44067797,25.55282555,5.356265356,60.09433962,,,,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-1.177,K+,1,OH-,1,anion exchange membrane,12.16949153,20.63882064,5.118755119,58.77358491,,,,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-1.377,K+,1,OH-,1,anion exchange membrane,12.16949153,19.16461916,3.108108108,60.4245283,,,,,
Cu2(OH)2CO3,cupric carbonate basic,carbon paper,100,-1.577,K+,1,OH-,1,anion exchange membrane,12.44067797,16.21621622,3.329238329,62.0754717,,,,,
Cu,nanoparticle,glassy carbon,7.5,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,25.2,2.1,38.3,27.4,,,Tailoring Copper Nanocrystals towards C2 Products in Electrochemical CO2 Reduction,,
Cu,nanoparticle,glassy carbon,27,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,47.6,3.1,34.4,15.5,,,,,
Cu,cube,glassy carbon,24,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,54.7,3.3,35,9.8,,,,,
Cu,cube,glassy carbon,44,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,20.5,2.1,28.7,46.4,,,,,
Cu,cube,glassy carbon,63,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,32.3,1.2,27.8,32.3,,,,,
CuxO,oxide ,-,29.9,-1.13,K+,0.1,HCO3-,0.1,anion exchange membrane,99.66072943,0,0.212044105,0,,,Mechanistic insights into the selective electroreduction of carbon dioxide to ethylene on CuxO-derived copper catalysts,,
CuxO,oxide ,-,29.9,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,78.45631891,0,2.120441052,16.75148431,,,,,
CuxO,oxide ,-,29.9,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,59.37234945,0,3.180661578,33.47413062,,,,,
CuxO,oxide ,-,29.9,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,34.56318914,0.636132316,7.209499576,56.59202714,,,,,
CuxO,oxide ,-,29.9,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,49.40627651,1.272264631,10.60220526,36.47158609,,,,,
CuxO,oxide ,-,29.9,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,46.64970314,2.120441052,25.23324852,24.17302799,,,,,
CuxO,oxide ,-,29.9,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,51.73876166,2.756573367,12.72264631,32.8668363,,,,,
CuxO,oxide ,-,29.9,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,43.25699746,7.633587786,32.6547922,11.02629347,,,,,
CuxO,oxide ,-,29.9,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,64.03731976,12.72264631,32.44274809,6.997455471,,,,,
CuxO,oxide ,-,18,-1.13,K+,0.1,HCO3-,0.1,anion exchange membrane,90.83969466,0,0.890585242,8.905852417,,,,,
CuxO,oxide ,-,18,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,75.27671756,0,1.16889313,24.78053435,,,,,
CuxO,oxide ,-,18,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,53.16793893,0,1.335877863,44.94656489,,,,,
CuxO,oxide ,-,18,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,45.15267176,0,3.183842239,49.46819338,,,,,
CuxO,oxide ,-,18,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,42.12468193,1.959287532,15.18447837,38.94083969,,,,,
CuxO,oxide ,-,18,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,47.69083969,3.085877863,13.46564885,37.3110687,,,,,
CuxO,oxide ,-,18,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,53.25699746,4.920483461,12.73536896,27.49681934,,,,,
CuxO,oxide ,-,18,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,49.16030534,5.888994911,28.67684478,14.59446565,,,,,
CuxO,oxide ,-,18,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,51.65394402,11.88040712,25.82697201,10.07251908,,,,,
CuxO,oxide ,-,28.4,-1.13,K+,0.1,HCO3-,0.1,anion exchange membrane,103.4482759,0,0,0,,,,,
CuxO,oxide ,-,28.4,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,82.97413793,0,1.077586207,15.34482759,,,,,
CuxO,oxide ,-,28.4,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,75.86206897,0,1.293103448,23.55172414,,,,,
CuxO,oxide ,-,28.4,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,52.15517241,0,4.094827586,44.28448276,,,,,
CuxO,oxide ,-,28.4,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,43.96551724,0,4.956896552,51.75,,,,,
CuxO,oxide ,-,28.4,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,37.28448276,1.077586207,3.879310345,57.86206897,,,,,
CuxO,oxide ,-,28.4,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,39.65517241,1.077586207,4.310344828,55.18103448,,,,,
CuxO,oxide ,-,28.4,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,53.01724138,5.387931034,14.87068966,27.15517241,,,,,
CuxO,oxide ,-,28.4,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,39.65517241,12.06896552,26.07758621,21.71551724,,,,,
CuxO,oxide ,-,40.6,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,96.7611336,0,0,2.226720648,,,,,
CuxO,oxide ,-,40.6,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,81.37651822,0,0.4048583,15.36032389,,,,,
CuxO,oxide ,-,40.6,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,89.06882591,0,0.809716599,9.311740891,,,,,
CuxO,oxide ,-,40.6,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,72.67206478,0,1.214574899,18.82591093,,,,,
CuxO,oxide ,-,40.6,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,69.23076923,0,1.619433198,18.62348178,,,,,
CuxO,oxide ,-,40.6,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,56.07287449,0.931174089,1.821862348,39.40080972,,,,,
CuxO,oxide ,-,40.6,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,56.88259109,2.024291498,15.58704453,27.73279352,,,,,
CuxO,oxide ,-,40.6,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,54.048583,5.263157895,19.43319838,17.58704453,,,,,
CuxO,oxide ,-,25.4,-1.13,K+,0.1,HCO3-,0.1,anion exchange membrane,94.06071271,0.131984162,0.131984162,1.40783106,,,,,
CuxO,oxide ,-,25.4,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,58.424989,0.131984162,0.791904971,31.54421469,,,,,
CuxO,oxide ,-,25.4,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,41.04707435,0.131984162,3.431588209,56.36339639,,,,,
CuxO,oxide ,-,25.4,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,36.64760229,0.791904971,4.751429828,57.00439947,,,,,
CuxO,oxide ,-,25.4,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,37.96744391,1.671799384,6.511218654,53.14342279,,,,,
CuxO,oxide ,-,25.4,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,46.32644083,3.211614606,15.53013638,33.90453146,,,,,
CuxO,oxide ,-,25.4,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,67.22393313,2.331720194,13.55037396,22.96524417,,,,,
CuxO,oxide ,-,25.4,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,54.90541135,6.95116586,21.90937088,16.80598328,,,,,
CuxO,oxide ,-,25.4,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,61.72459305,13.33040035,24.98900132,2.947646282,,,,,
CuxO,oxide ,-,18.2,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,84.33476395,0,7.939914163,12.66094421,,,,,
CuxO,oxide ,-,18.2,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,46.56652361,0,2.145922747,50.40772532,,,,,
CuxO,oxide ,-,18.2,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,35.6223176,0.429184549,4.291845494,55.92274678,,,,,
CuxO,oxide ,-,18.2,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,33.9055794,1.502145923,7.725321888,53.91845494,,,,,
CuxO,oxide ,-,18.2,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,46.56652361,1.716738197,6.86695279,44.98283262,,,,,
CuxO,oxide ,-,18.2,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,45.27896996,9.227467811,21.45922747,20.45064378,,,,,
CuxO,oxide ,-,18.2,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,45.70815451,18.6695279,21.03004292,14.72103004,,,,,
CuxO,oxide ,-,21.8,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,86.31346578,0,0,9.050772627,,,,,
CuxO,oxide ,-,21.8,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,63.57615894,0,0.883002208,32.22958057,,,,,
CuxO,oxide ,-,21.8,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,53.200883,0.220750552,1.103752759,41.12582781,,,,,
CuxO,oxide ,-,21.8,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,39.73509934,0.883002208,6.622516556,53.09933775,,,,,
CuxO,oxide ,-,21.8,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,43.70860927,1.766004415,5.960264901,47.16335541,,,,,
CuxO,oxide ,-,21.8,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,53.200883,1.766004415,9.713024283,33.99558499,,,,,
CuxO,oxide ,-,21.8,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,50.77262693,4.194260486,17.21854305,23.3995585,,,,,
CuxO,oxide ,-,21.8,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,52.09713024,10.37527594,17.66004415,17.06401766,,,,,
CuxO,oxide ,-,22,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,105.7831325,0,0,1.927710843,,,,,
CuxO,oxide ,-,22,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,64.3373494,0.481927711,0.963855422,29.87951807,,,,,
CuxO,oxide ,-,22,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,62.40963855,0.481927711,3.373493976,34.93975904,,,,,
CuxO,oxide ,-,22,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,41.20481928,0.722891566,3.614457831,50.46987952,,,,,
CuxO,oxide ,-,22,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,50.84337349,0.963855422,12.04819277,34.45783133,,,,,
CuxO,oxide ,-,22,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,57.8313253,0.963855422,7.469879518,35.90361446,,,,,
CuxO,oxide ,-,22,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,61.92771084,2.409638554,9.156626506,30.60240964,,,,,
CuxO,oxide ,-,22,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,40.24096386,9.879518072,23.61445783,26.97590361,,,,,
CuxO,oxide ,-,33.1,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,93.99141631,0,0.429184549,7.510729614,,,,,
CuxO,oxide ,-,33.1,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,77.25321888,0.214592275,0.429184549,17.8111588,,,,,
CuxO,oxide ,-,33.1,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,59.65665236,0.429184549,1.287553648,37.25321888,,,,,
CuxO,oxide ,-,33.1,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,54.93562232,1.287553648,2.575107296,39.39914163,,,,,
CuxO,oxide ,-,33.1,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,46.99570815,1.072961373,5.364806867,42.91845494,,,,,
